"state","year","party","votes"
"Puducherry",1991,"DMK","24.71"
"Puducherry",1996,"DMK","22.9"
"Puducherry",2001,"DMK","17.54"
"Puducherry",2006,"DMK","12.59"
"Puducherry",2011,"DMK","10.86"
"Puducherry",2016,"DMK","9.07"
"Puducherry",1974,"ADK","27.83"
"Puducherry",1977,"ADK","30.96"
"Puducherry",1980,"ADK","18.6"
"Puducherry",1985,"ADK","15.75"
"Puducherry",1990,"ADK","18.17"
"Puducherry",1991,"ADK","17.34"
"Puducherry",1974,"NCO","18.92"
"Puducherry",1977,"JNP","26.45"
"Puducherry",1980,"JNP","9.33"
"Puducherry",1985,"JNP","8.61"
"Puducherry",1980,"INC(I)","23.92"
"Puducherry",1990,"PMK","6.38"
"Puducherry",1991,"PMK","2.92"
"Puducherry",1996,"PMK","2.51"
"Puducherry",2001,"PMK","7.71"
"Puducherry",2006,"PMK","3.8"
"Puducherry",2011,"PMK","2.53"
"Puducherry",2016,"PMK","0.73"
"Puducherry",1990,"JD","9.08"
"Puducherry",1991,"JD","6.73"
"Puducherry",1996,"JD","4.42"
"Puducherry",1996,"ADMK","12.53"
"Puducherry",2001,"ADMK","12.56"
"Puducherry",2016,"ADMK","17.24"
"Puducherry",1996,"TMC(M)","9.23"
"Puducherry",2001,"TMC(M)","7.42"
"Puducherry",2001,"PMC","10.24"
"Puducherry",2006,"PMC","9.4"
"Puducherry",2006,"AIADMK","16.05"
"Puducherry",2011,"AIADMK","13.98"
"Puducherry",2011,"AINRC","32.28"
"Puducherry",2016,"AINRC","28.83"
"Puducherry",1985,"BJP","0.05"
"Puducherry",1990,"BJP","0.51"
"Puducherry",1991,"BJP","0.78"
"Puducherry",1996,"BJP","1.13"
"Puducherry",2001,"BJP","4.65"
"Puducherry",2006,"BJP","3.07"
"Puducherry",2011,"BJP","1.34"
"Puducherry",2016,"BJP","2.47"
"Karnataka",1978,"INC","7.99"
"Karnataka",1983,"INC","40.42"
"Karnataka",1985,"INC","40.83"
"Karnataka",1989,"INC","43.77"
"Karnataka",1994,"INC","26.95"
"Karnataka",1999,"INC","40.84"
"Karnataka",2004,"INC","35.27"
"Karnataka",2008,"INC","34.76"
"Karnataka",2013,"INC","36.6"
"Karnataka",1978,"IND","7.5"
"Karnataka",1983,"IND","15.46"
"Karnataka",1985,"IND","9.45"
"Karnataka",1989,"IND","8.11"
"Karnataka",1994,"IND","9.65"
"Karnataka",1999,"IND","12"
"Karnataka",2004,"IND","6.86"
"Karnataka",2008,"IND","6.92"
"Karnataka",2013,"IND","7.37"
"Karnataka",1978,"JNP","37.95"
"Karnataka",1983,"JNP","33.07"
"Karnataka",1985,"JNP","43.61"
"Karnataka",1978,"INC(I)","44.25"
"Karnataka",1978,"CPM","0.5"
"Karnataka",1983,"CPM","0.89"
"Karnataka",1985,"CPM","0.87"
"Karnataka",1989,"CPM","0.54"
"Karnataka",1994,"CPM","0.49"
"Karnataka",1999,"CPM","0.38"
"Karnataka",2004,"CPM","0.37"
"Karnataka",2008,"CPM","0.24"
"Karnataka",2013,"CPM","0.22"
"Karnataka",1978,"CPI","1.19"
"Karnataka",1983,"CPI","1.25"
"Karnataka",1985,"CPI","0.9"
"Karnataka",1989,"CPI","0.59"
"Karnataka",1994,"CPI","0.23"
"Karnataka",1999,"CPI","0.12"
"Karnataka",2004,"CPI","0.1"
"Karnataka",2008,"CPI","0.11"
"Karnataka",2013,"CPI","0.08"
"Karnataka",1983,"BJP","7.93"
"Karnataka",1985,"BJP","3.88"
"Karnataka",1989,"BJP","4.14"
"Karnataka",1994,"BJP","16.99"
"Karnataka",1999,"BJP","20.69"
"Karnataka",2004,"BJP","28.33"
"Karnataka",2008,"BJP","33.87"
"Karnataka",2013,"BJP","19.89"
"Karnataka",1989,"JD","27.08"
"Karnataka",1994,"JD","33.54"
"Karnataka",1989,"KRS","3.59"
"Karnataka",1994,"KRS","0.39"
"Karnataka",1989,"JNP(JP)","11.34"
"Karnataka",1994,"KRRS","2.26"
"Karnataka",1999,"KRRS","0.4"
"Karnataka",2004,"KRRS","0.21"
"Karnataka",2013,"KRRS","0.02"
"Karnataka",1994,"KCP","7.31"
"Karnataka",1989,"BSP","0.04"
"Karnataka",1994,"BSP","0.78"
"Karnataka",1999,"BSP","0.94"
"Karnataka",2004,"BSP","1.74"
"Karnataka",2008,"BSP","2.74"
"Karnataka",2013,"BSP","0.91"
"Karnataka",1999,"JD(S)","10.42"
"Karnataka",2004,"JD(S)","20.77"
"Karnataka",2008,"JD(S)","18.96"
"Karnataka",2013,"JD(S)","20.19"
"Karnataka",1999,"JD(U)","13.53"
"Karnataka",2004,"JD(U)","2.06"
"Karnataka",2008,"JD(U)","0.33"
"Karnataka",2013,"JD(U)","0.22"
"Karnataka",1994,"JP","0.16"
"Karnataka",2004,"JP","2.01"
"Karnataka",1994,"SP","0.32"
"Karnataka",1999,"SP","0.06"
"Karnataka",2004,"SP","0.04"
"Karnataka",2008,"SP","0.93"
"Karnataka",2013,"SP","0.34"
"Karnataka",2013,"BSRCP","2.69"
"Karnataka",2013,"KJP","9.79"
"Maharashtra",1962,"REP","5.38"
"Maharashtra",1962,"CPI","5.9"
"Maharashtra",1967,"CPI","4.87"
"Maharashtra",1972,"CPI","2.73"
"Maharashtra",1978,"CPI","1.48"
"Maharashtra",1980,"CPI","1.31"
"Maharashtra",1985,"CPI","0.92"
"Maharashtra",1990,"CPI","0.74"
"Maharashtra",1995,"CPI","0.32"
"Maharashtra",1999,"CPI","0.15"
"Maharashtra",2004,"CPI","0.14"
"Maharashtra",2009,"CPI","0.14"
"Maharashtra",2014,"CPI","0.13"
"Maharashtra",1962,"INC","51.22"
"Maharashtra",1967,"INC","47.03"
"Maharashtra",1972,"INC","56.36"
"Maharashtra",1978,"INC","25.33"
"Maharashtra",1985,"INC","43.41"
"Maharashtra",1990,"INC","38.18"
"Maharashtra",1995,"INC","31.01"
"Maharashtra",1999,"INC","27.2"
"Maharashtra",2004,"INC","21.06"
"Maharashtra",2009,"INC","20.96"
"Maharashtra",2014,"INC","17.95"
"Maharashtra",1962,"PSP","7.23"
"Maharashtra",1967,"PSP","4.08"
"Maharashtra",1962,"IND","16.74"
"Maharashtra",1967,"IND","14.57"
"Maharashtra",1972,"IND","12.68"
"Maharashtra",1978,"IND","14.06"
"Maharashtra",1980,"IND","8.03"
"Maharashtra",1985,"IND","17.49"
"Maharashtra",1990,"IND","13.59"
"Maharashtra",1995,"IND","23.61"
"Maharashtra",1999,"IND","9.49"
"Maharashtra",2004,"IND","14.05"
"Maharashtra",2009,"IND","15.5"
"Maharashtra",2014,"IND","4.71"
"Maharashtra",1962,"PWP","7.47"
"Maharashtra",1967,"PWP","7.8"
"Maharashtra",1972,"PWP","5.66"
"Maharashtra",1978,"PWP","5.54"
"Maharashtra",1980,"PWP","4.14"
"Maharashtra",1985,"PWP","3.77"
"Maharashtra",1990,"PWP","2.42"
"Maharashtra",1995,"PWP","2.05"
"Maharashtra",1967,"BJS","8.17"
"Maharashtra",1972,"BJS","6.25"
"Maharashtra",1967,"RPI","6.66"
"Maharashtra",1972,"RPI","3.77"
"Maharashtra",1978,"RPI","1.06"
"Maharashtra",1980,"RPI","0.76"
"Maharashtra",1985,"RPI","1"
"Maharashtra",1990,"RPI","0.7"
"Maharashtra",1995,"RPI","0.15"
"Maharashtra",1999,"RPI","0.69"
"Maharashtra",2004,"RPI","0.15"
"Maharashtra",2009,"RPI","0.1"
"Maharashtra",2014,"RPI","0.12"
"Maharashtra",1972,"SOP","4.58"
"Maharashtra",1978,"JNP","27.99"
"Maharashtra",1985,"JNP","7.38"
"Maharashtra",1972,"SHS","1.84"
"Maharashtra",1978,"SHS","1.82"
"Maharashtra",1990,"SHS","15.94"
"Maharashtra",1995,"SHS","16.4"
"Maharashtra",1999,"SHS","17.33"
"Maharashtra",2004,"SHS","19.97"
"Maharashtra",2009,"SHS","16.27"
"Maharashtra",2014,"SHS","19.35"
"Maharashtra",1978,"INC(I)","18.34"
"Maharashtra",1980,"INC(I)","44.5"
"Maharashtra",1980,"JNP(JP)","8.61"
"Maharashtra",1990,"JNP(JP)","0.11"
"Maharashtra",1980,"BJP","9.38"
"Maharashtra",1985,"BJP","7.25"
"Maharashtra",1990,"BJP","10.71"
"Maharashtra",1995,"BJP","12.81"
"Maharashtra",1999,"BJP","14.54"
"Maharashtra",2004,"BJP","13.67"
"Maharashtra",2009,"BJP","14.03"
"Maharashtra",2014,"BJP","27.81"
"Maharashtra",1980,"INC(U)","20.5"
"Maharashtra",1985,"ICS","17.28"
"Maharashtra",1995,"ICS","0.17"
"Maharashtra",1990,"JD","12.72"
"Maharashtra",1995,"JD","5.87"
"Maharashtra",1995,"BBMS","3.03"
"Maharashtra",1999,"BBM","1.85"
"Maharashtra",2004,"BBM","1.23"
"Maharashtra",2009,"BBM","0.83"
"Maharashtra",2014,"BBM","0.89"
"Maharashtra",1999,"NCP","22.6"
"Maharashtra",2004,"NCP","18.75"
"Maharashtra",2009,"NCP","16.39"
"Maharashtra",2014,"NCP","17.24"
"Maharashtra",1990,"BSP","0.42"
"Maharashtra",1995,"BSP","1.49"
"Maharashtra",1999,"BSP","0.39"
"Maharashtra",2004,"BSP","4"
"Maharashtra",2009,"BSP","2.35"
"Maharashtra",2014,"BSP","2.25"
"Maharashtra",2009,"MNS","5.71"
"Maharashtra",2014,"MNS","3.15"
"Chhattisgarh",2003,"GGP","1.6"
"Chhattisgarh",2008,"GGP","1.59"
"Chhattisgarh",2013,"GGP","1.57"
"Chhattisgarh",2003,"NCP","7.02"
"Chhattisgarh",2008,"NCP","0.52"
"Chhattisgarh",2013,"NCP","0.3"
"Chhattisgarh",2003,"BJP","39.26"
"Chhattisgarh",2008,"BJP","40.34"
"Chhattisgarh",2013,"BJP","41.04"
"Chhattisgarh",2003,"IND","7.12"
"Chhattisgarh",2008,"IND","8.46"
"Chhattisgarh",2013,"IND","5.33"
"Chhattisgarh",2003,"BSP","4.45"
"Chhattisgarh",2008,"BSP","6.11"
"Chhattisgarh",2013,"BSP","4.27"
"Chhattisgarh",2003,"INC","36.71"
"Chhattisgarh",2008,"INC","38.63"
"Chhattisgarh",2013,"INC","40.29"
"Chhattisgarh",2003,"CPI","1.08"
"Chhattisgarh",2008,"CPI","1.12"
"Chhattisgarh",2013,"CPI","0.66"
"Chhattisgarh",2013,"NOTA","3.07"
"Chhattisgarh",2013,"CSM","1.73"
"Odisha",1967,"PSP","12.26"
"Odisha",1971,"PSP","6.08"
"Odisha",1967,"INC","30.66"
"Odisha",1971,"INC","28.18"
"Odisha",1974,"INC","37.44"
"Odisha",1977,"INC","31.02"
"Odisha",1985,"INC","51.08"
"Odisha",1990,"INC","29.78"
"Odisha",1995,"INC","39.08"
"Odisha",2000,"INC","33.78"
"Odisha",2004,"INC","34.82"
"Odisha",2009,"INC","29.45"
"Odisha",2014,"INC","25.71"
"Odisha",1967,"CPI","5.26"
"Odisha",1971,"CPI","4.79"
"Odisha",1974,"CPI","4.87"
"Odisha",1977,"CPI","3.57"
"Odisha",1980,"CPI","5.09"
"Odisha",1985,"CPI","3.31"
"Odisha",1990,"CPI","2.98"
"Odisha",1995,"CPI","1.71"
"Odisha",2000,"CPI","1.22"
"Odisha",2004,"CPI","0.77"
"Odisha",2009,"CPI","0.54"
"Odisha",2014,"CPI","0.51"
"Odisha",1967,"IND","12.55"
"Odisha",1971,"IND","7.55"
"Odisha",1974,"IND","13.06"
"Odisha",1977,"IND","14.37"
"Odisha",1980,"IND","11.88"
"Odisha",1985,"IND","10.5"
"Odisha",1990,"IND","7.36"
"Odisha",1995,"IND","10.5"
"Odisha",2000,"IND","10.66"
"Odisha",2004,"IND","12.2"
"Odisha",2009,"IND","8.58"
"Odisha",2014,"IND","5.04"
"Odisha",1967,"JAC","13.47"
"Odisha",1971,"JAC","5.16"
"Odisha",1974,"JAC","1.17"
"Odisha",1967,"SWA","22.58"
"Odisha",1971,"SWA","17.44"
"Odisha",1974,"SWA","12.08"
"Odisha",1971,"UTC","23.99"
"Odisha",1974,"UTC","26.45"
"Odisha",1971,"SOP","1.21"
"Odisha",1974,"SOP","1.77"
"Odisha",1967,"CPM","1.16"
"Odisha",1971,"CPM","1.2"
"Odisha",1974,"CPM","1.18"
"Odisha",1977,"CPM","0.88"
"Odisha",1980,"CPM","2.01"
"Odisha",1985,"CPM","1.14"
"Odisha",1990,"CPM","0.84"
"Odisha",1995,"CPM","0.66"
"Odisha",2000,"CPM","0.77"
"Odisha",2004,"CPM","0.55"
"Odisha",2009,"CPM","0.46"
"Odisha",2014,"CPM","0.37"
"Odisha",1977,"JNP","49.17"
"Odisha",1985,"JNP","30.61"
"Odisha",1974,"JKD","0.6"
"Odisha",1977,"JKD","0.49"
"Odisha",1980,"JKD","0.55"
"Odisha",1985,"JKD","0.28"
"Odisha",1990,"JKD","0.03"
"Odisha",1980,"JNP(SC)","19.49"
"Odisha",1980,"INC(U)","7.03"
"Odisha",1980,"INC(I)","47.78"
"Odisha",1980,"JNP(JP)","4.14"
"Odisha",1990,"JNP(JP)","0.84"
"Odisha",1980,"BJP","1.36"
"Odisha",1985,"BJP","2.6"
"Odisha",1990,"BJP","3.56"
"Odisha",1995,"BJP","7.88"
"Odisha",2000,"BJP","18.2"
"Odisha",2004,"BJP","17.11"
"Odisha",2009,"BJP","14.64"
"Odisha",2014,"BJP","17.99"
"Odisha",1990,"JD","53.69"
"Odisha",1995,"JD","35.42"
"Odisha",1985,"JMM","0.02"
"Odisha",1990,"JMM","0.33"
"Odisha",1995,"JMM","1.94"
"Odisha",2000,"JMM","2.14"
"Odisha",2004,"JMM","1.78"
"Odisha",2009,"JMM","1.31"
"Odisha",2014,"JMM","1.03"
"Odisha",2000,"BJD","29.4"
"Odisha",2004,"BJD","27.36"
"Odisha",2009,"BJD","39.09"
"Odisha",2014,"BJD","43.35"
"Odisha",1990,"BSP","0.27"
"Odisha",1995,"BSP","0.5"
"Odisha",2000,"BSP","1.15"
"Odisha",2004,"BSP","1.93"
"Odisha",2009,"BSP","1.57"
"Odisha",2014,"BSP","0.86"
"Odisha",2000,"NCP","0.25"
"Odisha",2009,"NCP","1.42"
"Odisha",2014,"NCP","0.04"
"Odisha",2014,"NOTA","1.26"
"Madras",1967,"CPI","1.8"
"Madras",1967,"CPM","4.07"
"Madras",1967,"DMK","40.69"
"Madras",1967,"INC","41.1"
"Madras",1967,"IND","4.95"
"Madras",1967,"SWA","5.3"
"Andhra_Pradesh",1962,"IND","20.48"
"Andhra_Pradesh",1967,"IND","26.41"
"Andhra_Pradesh",1972,"IND","32.22"
"Andhra_Pradesh",1978,"IND","9.19"
"Andhra_Pradesh",1983,"IND","55.99"
"Andhra_Pradesh",1985,"IND","9.1"
"Andhra_Pradesh",1989,"IND","6.58"
"Andhra_Pradesh",1994,"IND","8.65"
"Andhra_Pradesh",1999,"IND","4.78"
"Andhra_Pradesh",2004,"IND","6.57"
"Andhra_Pradesh",2009,"IND","4.65"
"Andhra_Pradesh",2014,"IND","3.07"
"Andhra_Pradesh",1962,"SWA","10.4"
"Andhra_Pradesh",1967,"SWA","9.84"
"Andhra_Pradesh",1972,"SWA","1.98"
"Andhra_Pradesh",1962,"CPI","19.53"
"Andhra_Pradesh",1967,"CPI","7.78"
"Andhra_Pradesh",1972,"CPI","5.98"
"Andhra_Pradesh",1978,"CPI","2.49"
"Andhra_Pradesh",1983,"CPI","2.79"
"Andhra_Pradesh",1985,"CPI","2.69"
"Andhra_Pradesh",1989,"CPI","2.64"
"Andhra_Pradesh",1994,"CPI","3.39"
"Andhra_Pradesh",1999,"CPI","1.62"
"Andhra_Pradesh",2004,"CPI","1.53"
"Andhra_Pradesh",2009,"CPI","1.22"
"Andhra_Pradesh",2014,"CPI","0.53"
"Andhra_Pradesh",1962,"INC","47.25"
"Andhra_Pradesh",1967,"INC","45.42"
"Andhra_Pradesh",1972,"INC","52.29"
"Andhra_Pradesh",1978,"INC","17.01"
"Andhra_Pradesh",1983,"INC","33.58"
"Andhra_Pradesh",1985,"INC","37.26"
"Andhra_Pradesh",1989,"INC","47.1"
"Andhra_Pradesh",1994,"INC","33.86"
"Andhra_Pradesh",1999,"INC","40.61"
"Andhra_Pradesh",2004,"INC","38.56"
"Andhra_Pradesh",2009,"INC","36.47"
"Andhra_Pradesh",2014,"INC","11.71"
"Andhra_Pradesh",1962,"JS","1.04"
"Andhra_Pradesh",1962,"SOC","0.61"
"Andhra_Pradesh",1967,"BJS","2.11"
"Andhra_Pradesh",1972,"BJS","1.86"
"Andhra_Pradesh",1989,"BJS","0"
"Andhra_Pradesh",1967,"CPM","7.61"
"Andhra_Pradesh",1972,"CPM","3.18"
"Andhra_Pradesh",1978,"CPM","2.71"
"Andhra_Pradesh",1983,"CPM","2.01"
"Andhra_Pradesh",1985,"CPM","2.31"
"Andhra_Pradesh",1989,"CPM","2.46"
"Andhra_Pradesh",1994,"CPM","2.97"
"Andhra_Pradesh",1999,"CPM","1.7"
"Andhra_Pradesh",2004,"CPM","1.84"
"Andhra_Pradesh",2009,"CPM","1.43"
"Andhra_Pradesh",2014,"CPM","0.83"
"Andhra_Pradesh",1978,"INC(I)","39.25"
"Andhra_Pradesh",1978,"JNP","28.85"
"Andhra_Pradesh",1983,"JNP","0.96"
"Andhra_Pradesh",1985,"JNP","0.76"
"Andhra_Pradesh",1983,"BJP","2.76"
"Andhra_Pradesh",1985,"BJP","1.62"
"Andhra_Pradesh",1989,"BJP","1.78"
"Andhra_Pradesh",1994,"BJP","3.89"
"Andhra_Pradesh",1999,"BJP","3.67"
"Andhra_Pradesh",2004,"BJP","2.63"
"Andhra_Pradesh",2009,"BJP","2.84"
"Andhra_Pradesh",2014,"BJP","4.13"
"Andhra_Pradesh",1983,"TDP","0.21"
"Andhra_Pradesh",1985,"TDP","46.21"
"Andhra_Pradesh",1989,"TDP","36.55"
"Andhra_Pradesh",1994,"TDP","44.15"
"Andhra_Pradesh",1999,"TDP","43.87"
"Andhra_Pradesh",2004,"TDP","37.59"
"Andhra_Pradesh",2009,"TDP","28.12"
"Andhra_Pradesh",2014,"TDP","32.53"
"Andhra_Pradesh",1989,"MIM","1.99"
"Andhra_Pradesh",1994,"MIM","0.7"
"Andhra_Pradesh",2004,"TRS","6.68"
"Andhra_Pradesh",2009,"TRS","3.99"
"Andhra_Pradesh",2014,"TRS","13.68"
"Andhra_Pradesh",2009,"PRAP","16.32"
"Andhra_Pradesh",2014,"YSRCP","27.88"
"Gujarat",1962,"JS","1.34"
"Gujarat",1962,"INC","50.84"
"Gujarat",1967,"INC","45.96"
"Gujarat",1972,"INC","50.93"
"Gujarat",1975,"INC","40.7"
"Gujarat",1985,"INC","55.55"
"Gujarat",1990,"INC","30.74"
"Gujarat",1995,"INC","32.86"
"Gujarat",1998,"INC","34.85"
"Gujarat",2002,"INC","39.28"
"Gujarat",2007,"INC","38.14"
"Gujarat",2012,"INC","38.93"
"Gujarat",1962,"SWA","24.44"
"Gujarat",1967,"SWA","38.19"
"Gujarat",1972,"SWA","1.78"
"Gujarat",1962,"IND","12.02"
"Gujarat",1967,"IND","10.19"
"Gujarat",1972,"IND","12.96"
"Gujarat",1975,"IND","11.58"
"Gujarat",1980,"IND","9.97"
"Gujarat",1985,"IND","9.28"
"Gujarat",1990,"IND","10.43"
"Gujarat",1995,"IND","18.7"
"Gujarat",1998,"IND","5.24"
"Gujarat",2002,"IND","5.72"
"Gujarat",2007,"IND","6.72"
"Gujarat",2012,"IND","5.83"
"Gujarat",1962,"NJP","2.51"
"Gujarat",1962,"PSP","7.74"
"Gujarat",1967,"PSP","3.33"
"Gujarat",1967,"SSP","0.37"
"Gujarat",1967,"BJS","1.88"
"Gujarat",1972,"BJS","9.29"
"Gujarat",1975,"BJS","8.82"
"Gujarat",1990,"BJS","0.04"
"Gujarat",1972,"NCO","23.49"
"Gujarat",1975,"NCO","23.6"
"Gujarat",1972,"SOP","0.72"
"Gujarat",1975,"KLP","11.53"
"Gujarat",1975,"BLD","1.45"
"Gujarat",1980,"JNP(JP)","22.77"
"Gujarat",1990,"JNP(JP)","0.55"
"Gujarat",1980,"INC(I)","51.04"
"Gujarat",1980,"INC(U)","0.97"
"Gujarat",1980,"JNP(SC)","0.63"
"Gujarat",1980,"BJP","14.02"
"Gujarat",1985,"BJP","14.96"
"Gujarat",1990,"BJP","26.69"
"Gujarat",1995,"BJP","42.52"
"Gujarat",1998,"BJP","44.81"
"Gujarat",2002,"BJP","49.85"
"Gujarat",2007,"BJP","48.9"
"Gujarat",2012,"BJP","47.85"
"Gujarat",1962,"CPI","0.18"
"Gujarat",1972,"CPI","0.47"
"Gujarat",1975,"CPI","0.2"
"Gujarat",1980,"CPI","0.32"
"Gujarat",1985,"CPI","0.26"
"Gujarat",1990,"CPI","0.09"
"Gujarat",1995,"CPI","0.11"
"Gujarat",1998,"CPI","0.06"
"Gujarat",2002,"CPI","0.02"
"Gujarat",2007,"CPI","0.02"
"Gujarat",2012,"CPI","0.02"
"Gujarat",1985,"DDP","0.51"
"Gujarat",1990,"DDP","0.41"
"Gujarat",1995,"DDP","0.66"
"Gujarat",1985,"JNP","19.25"
"Gujarat",1990,"JD","29.37"
"Gujarat",1995,"JD","2.82"
"Gujarat",1998,"JD","2.63"
"Gujarat",1990,"YVP","0.85"
"Gujarat",1990,"BSP","0.04"
"Gujarat",1995,"BSP","1.6"
"Gujarat",1998,"BSP","0.08"
"Gujarat",2002,"BSP","0.32"
"Gujarat",2007,"BSP","2.65"
"Gujarat",2012,"BSP","1.25"
"Gujarat",1975,"SP","0.73"
"Gujarat",1995,"SP","0.08"
"Gujarat",1998,"SP","0.4"
"Gujarat",2002,"SP","0.32"
"Gujarat",2007,"SP","0.16"
"Gujarat",2012,"SP","0.26"
"Gujarat",1998,"AIRJP","11.68"
"Gujarat",2002,"BNP","1.15"
"Gujarat",2002,"JD(U)","0.86"
"Gujarat",2007,"JD(U)","0.65"
"Gujarat",2012,"JD(U)","0.67"
"Gujarat",2002,"NCP","1.71"
"Gujarat",2007,"NCP","0.98"
"Gujarat",2012,"NCP","0.95"
"Gujarat",2012,"GPP","3.63"
"Himachal_Pradesh",1967,"CPI","2.89"
"Himachal_Pradesh",1972,"CPI","2.45"
"Himachal_Pradesh",1977,"CPI","2.38"
"Himachal_Pradesh",1982,"CPI","1.71"
"Himachal_Pradesh",1985,"CPI","1.64"
"Himachal_Pradesh",1990,"CPI","2.11"
"Himachal_Pradesh",1993,"CPI","1.08"
"Himachal_Pradesh",1998,"CPI","0.43"
"Himachal_Pradesh",2003,"CPI","0.2"
"Himachal_Pradesh",2007,"CPI","0.19"
"Himachal_Pradesh",2012,"CPI","0.19"
"Himachal_Pradesh",1967,"BJS","13.87"
"Himachal_Pradesh",1972,"BJS","7.75"
"Himachal_Pradesh",1967,"IND","38.1"
"Himachal_Pradesh",1972,"IND","28.27"
"Himachal_Pradesh",1977,"IND","21.1"
"Himachal_Pradesh",1982,"IND","14.22"
"Himachal_Pradesh",1985,"IND","8.28"
"Himachal_Pradesh",1990,"IND","6.18"
"Himachal_Pradesh",1993,"IND","9.76"
"Himachal_Pradesh",1998,"IND","4.18"
"Himachal_Pradesh",2003,"IND","12.6"
"Himachal_Pradesh",2007,"IND","7.97"
"Himachal_Pradesh",2012,"IND","12.2"
"Himachal_Pradesh",1967,"RPI","0.5"
"Himachal_Pradesh",1967,"INC","42.19"
"Himachal_Pradesh",1972,"INC","53.24"
"Himachal_Pradesh",1977,"INC","27.32"
"Himachal_Pradesh",1982,"INC","42.53"
"Himachal_Pradesh",1985,"INC","55.46"
"Himachal_Pradesh",1990,"INC","36.32"
"Himachal_Pradesh",1993,"INC","48.82"
"Himachal_Pradesh",1998,"INC","43.51"
"Himachal_Pradesh",2003,"INC","41"
"Himachal_Pradesh",2007,"INC","38.9"
"Himachal_Pradesh",2012,"INC","42.72"
"Himachal_Pradesh",1967,"SWA","1.93"
"Himachal_Pradesh",1972,"NCO","2.11"
"Himachal_Pradesh",1972,"LRP","5.02"
"Himachal_Pradesh",1967,"CPM","0.39"
"Himachal_Pradesh",1972,"CPM","1.1"
"Himachal_Pradesh",1977,"CPM","0.18"
"Himachal_Pradesh",1982,"CPM","0.17"
"Himachal_Pradesh",1985,"CPM","0.49"
"Himachal_Pradesh",1990,"CPM","0.56"
"Himachal_Pradesh",1993,"CPM","0.75"
"Himachal_Pradesh",1998,"CPM","0.53"
"Himachal_Pradesh",2003,"CPM","0.48"
"Himachal_Pradesh",2007,"CPM","0.57"
"Himachal_Pradesh",2012,"CPM","1.16"
"Himachal_Pradesh",1977,"JNP","49.01"
"Himachal_Pradesh",1982,"JNP","4.75"
"Himachal_Pradesh",1985,"JNP","2.09"
"Himachal_Pradesh",1982,"BJP","35.16"
"Himachal_Pradesh",1985,"BJP","30.61"
"Himachal_Pradesh",1990,"BJP","41.65"
"Himachal_Pradesh",1993,"BJP","36.14"
